Time,open,high,low,close,volume
2003-05-05 00:00,1.12177,1.15376,1.1203,1.14907,5221909.91117984
2003-05-12 00:00,1.14958,1.16244,1.13691,1.15735,5280327.41208136
2003-05-19 00:00,1.16634,1.18373,1.16013,1.18266,5257382.21204913
2003-05-26 00:00,1.1827,1.193,1.16917,1.17691,5273850.91083193
2003-06-02 00:00,1.17149,1.1886,1.16287,1.17001,5187561.71075058
2003-06-09 00:00,1.1694,1.18774,1.16564,1.1863,5304393.9118939
2003-06-16 00:00,1.18694,1.19278,1.15511,1.1604,5297603.61075932
2003-06-23 00:00,1.16025,1.16215,1.13994,1.14254,5277834.61199063
2003-06-30 00:00,1.14308,1.16079,1.13974,1.14892,5276124.51105481
2003-07-07 00:00,1.1487,1.149,1.12587,1.1299,5302935.21165055
2003-07-14 00:00,1.12934,1.13369,1.11123,1.12746,5278608.61193001
2003-07-21 00:00,1.12685,1.15487,1.12411,1.15079,5276519.81158739
2003-07-28 00:00,1.15084,1.1538,1.11348,1.12541,5235950.51191461
2003-08-04 00:00,1.12843,1.14265,1.12581,1.13083,5281815.71086544
2003-08-11 00:00,1.12898,1.13798,1.12189,1.12663,5440871.31203902
2003-08-18 00:00,1.1249,1.1269,1.08363,1.08761,5555896.21263599
2003-08-25 00:00,1.08566,1.09974,1.0793,1.09847,5579187.911937
2003-09-01 00:00,1.09943,1.11126,1.07616,1.11049,5452802.61182624
2003-09-08 00:00,1.11043,1.13228,1.10461,1.12913,5603650.01248473
2003-09-15 00:00,1.12745,1.13837,1.11382,1.13792,5573526.11240613
2003-09-22 00:00,1.14343,1.15331,1.14134,1.14607,5603507.21236283
2003-09-29 00:00,1.14558,1.17677,1.13941,1.1581,5610767.6119805
2003-10-06 00:00,1.15655,1.18604,1.15322,1.17958,5570874.9124856
2003-10-13 00:00,1.18109,1.1815,1.15526,1.16812,5567838.01239043
2003-10-20 00:00,1.17098,1.18566,1.16016,1.17797,5578684.41235644
2003-10-27 00:00,1.17742,1.17843,1.15628,1.15877,5586010.11277634
2003-11-03 00:00,1.15778,1.16192,1.13783,1.15295,5598815.41203487
2003-11-10 00:00,1.15034,1.1802,1.14431,1.17758,5601621.51202756
2003-11-17 00:00,1.17764,1.19772,1.17245,1.19152,5630777.91231436
2003-11-24 00:00,1.19084,1.20145,1.17519,1.19928,5594296.71274465
2003-12-01 00:00,1.19717,1.21781,1.19364,1.2166,5605562.61230898
2003-12-08 00:00,1.21725,1.23063,1.21123,1.22756,5582666.61240476
2003-12-15 00:00,1.21419,1.24382,1.21288,1.23739,5595930.31221354
2003-12-22 00:00,1.24025,1.24702,1.23479,1.24272,5165699.01169193
2003-12-29 00:00,1.24258,1.2646,1.24221,1.25832,4880371.91079241
2004-01-05 00:00,1.25832,1.28676,1.2559,1.28149,5587307.71253401
2004-01-12 00:00,1.28538,1.28971,1.23504,1.23962,5598122.31222701
2004-01-19 00:00,1.23676,1.27742,1.23337,1.25797,5647858.81246388
2004-01-26 00:00,1.25742,1.26618,1.23506,1.24747,5580723.31216216
2004-02-02 00:00,1.24696,1.27243,1.23897,1.27026,5640115.91237044
2004-02-09 00:00,1.26054,1.28918,1.2598,1.27315,5662521.81282848
2004-02-16 00:00,1.27444,1.29253,1.24942,1.25345,5632651.31201524
2004-02-23 00:00,1.25263,1.2712,1.23732,1.24913,5620689.41250128
2004-03-01 00:00,1.24836,1.25413,1.20556,1.23657,5628664.91305709
2004-03-08 00:00,1.23873,1.24588,1.21627,1.22171,5624349.21280819
2004-03-15 00:00,1.21903,1.24335,1.21742,1.22855,5618887.41181481
2004-03-22 00:00,1.2277,1.23998,1.20743,1.21292,5636085.61231726
2004-03-29 00:00,1.21098,1.23874,1.20578,1.21331,5592929.71271837
2004-04-05 00:00,1.21146,1.22186,1.19812,1.20888,5610558.41231155
2004-04-12 00:00,1.20927,1.20966,1.18691,1.19916,5650909.71268898
2004-04-19 00:00,1.20059,1.20766,1.17774,1.18445,5659670.91215444
2004-04-26 00:00,1.18247,1.20106,1.17583,1.198,5654607.61254299
2004-05-03 00:00,1.1984,1.21796,1.18765,1.18812,5644477.01287532
2004-05-10 00:00,1.18718,1.19415,1.17718,1.18855,5682389.1129303
2004-05-17 00:00,1.18902,1.20694,1.18768,1.19831,5665984.61279041
2004-05-24 00:00,1.19887,1.22969,1.19338,1.22148,5661740.81279588
2004-05-31 00:00,1.22374,1.23044,1.21405,1.22847,5445486.41217029
2004-06-07 00:00,1.22937,1.2351,1.19644,1.20068,5648884.01217449
2004-06-14 00:00,1.2003,1.21708,1.19526,1.21373,5685323.21217859
2004-06-21 00:00,1.21378,1.21921,1.20398,1.2175,5676014.71257812
2004-06-28 00:00,1.218,1.23281,1.20647,1.23135,5615923.01273531
2004-07-05 00:00,1.23275,1.24239,1.2265,1.24134,5605578.91262811
2004-07-12 00:00,1.2413,1.2459,1.22991,1.24548,5613591.41212255
2004-07-19 00:00,1.24482,1.2462,1.20871,1.20927,5652010.11194074
2004-07-26 00:00,1.21002,1.21902,1.19923,1.20195,5622700.11197692
